habitatID,habitatLevel,habitatType,habitatDetails
B1.3,3,Shifting coastal dunes,"Mobile sands of the coasts of the boreal, nemoral, steppe, Mediterranean and warm-temperate humid zones, unvegetated or occupied by open grasslands; they may form tall dune ridges or, particularly along the Mediterranean and the Black Sea, be limited to a fairly flat upper beach, still subject in part to inundation. "
B1.31,4,Embryonic shifting dunes,"Formations of the coasts of nemoral, steppe, Mediterranean and warm-temperate humid zones, representing the first stages of dune construction, constituted by ripples or raised sand surfaces of the upper beach or by a seaward fringe at the foot of the tall dunes. Typically [Elymus farctus], [Otanthus maritimus], [Sporobolus pungens], [Pancratium maritimum], [Medicago marina] or [Anthemis tomentosa] may be present. 
The vegetation may belong to the class [Ammophiletea] with communities of [Otanthus maritimus], [Agropyro juncei-Sporoboletum pungentis], [Cypero mucronati-Agropyretum juncei], [Elymetum sabulosi], [Medicagini marinae-Ammophiletum australis] and species [Elytrigia bessarabica], [Glycyrrhiza glabra], [Limonium graecum], [Limonium sinuatum], [Zygophyllum album], [Inula crithmoides], [Scirpus holoschoenus], [Paronychia argentea] and [Centaurea spinosa]."
B1.311,5,Atlantic embryonic dunes,"Embryonic dunes of the Atlantic, south to southern Iberia, of the North Sea and of the Baltic coasts of Denmark, Germany, southern Sweden, Poland, the Baltic States, Russia and southwestern Finland, with [Elymus farctus] ([Agropyron junceum]) accompanied by [Leymus arenarius] in the north, by [Euphorbia paralias] on middle and southern Atlantic shores."
B1.312,5,Western Tethyan embryonic dunes,"Embryonic dunes of the Mediterranean coasts, on which [Elymus farctus] is accompanied by [Sporobolus pungens], [Euphorbia peplis], [Otanthus maritimus], [Medicago marina], [Anthemis maritima], [Anthemis tomentosa], [Eryngium maritimum], [Pancratium maritimum]."
B1.313,5,Pontic embryonic dunes,"Formations of Black Sea coasts, transitional between Pontic white dune and driftline communities, characterized by the adjunction to [Elymion gigantei] species assemblies of [Cakile maritima ssp. euxina], [Salsola kali ssp. ruthenica], [Euphorbia peplis] and other sand beach annual species."
B1.314,5,Large migrating dunes with no or low vegetation,No description available.
B1.32,4,White dunes,"Mobile dunes forming the seaward cordon or cordons of dune systems of the coasts of nemoral, steppe, Mediterranean and warm-temperate humid zones. Communities of [Ammophilion arenariae], [Ammophilion borealis], [Zygophyllion fontanesii] and several indicator species: [Ammophila arenaria], [Eryngium maritimum], [Euphorbia paralias], [Otanthus maritimus]. White dunes are further subdivided by region: Atlantic, Western Tethyan, Canario-Saharan and Pontic."
B1.321,5,Atlantic white dunes,"White dunes of the Atlantic, south to Aquitaine, of the North Sea and of the Baltic coasts of Denmark, southern Sweden, Germany, Poland, the Baltic States and Russia, dominated, when vegetated, by marram grass ([Ammophila arenaria]) accompanied by, among others, [Eryngium maritimum], [Euphorbia paralias], [Calystegia soldanella]."
B1.3211,6,Coastal dunes: white dunes (sensu strictu),No description available.
B1.3212,6,Coastal dunes: green dunes,No description available.
B1.322,5,Western Tethyan white dunes,"White dunes of the Mediterranean coasts and of the subtropical Atlantic coasts of Iberia and mediterranean North Africa, south to Safi at 32° N, dominated, when vegetated, by the marram grass [Ammophila arenaria ssp. arundinacea] ([Ammophila australis]), accompanied by, among others, [Otanthus maritimus], [Echinophora spinosa], [Eryngium maritimum], [Euphorbia paralias], [Cutandia maritima], [Medicago marina], [Anthemis maritima]."
B1.323,5,Canario-Saharan white dunes,"Mobile dunes of the Canary Islands and of the mediterraneo-Saharan coasts of Atlantic North Africa, with [Traganum moquini], [Euphorbia paralias], [Polycarpaea nivea], [Cyperus capitatus], [Ononis natrix], [Convolvulus caput-medusae], [Polygonum maritimum], [Lotus] spp. and the threatened Lanzarote endemic lily [Androcymbium psammophilum]."
B1.324,5,Pontic white dunes,"Mobile dunes of the Black Sea coasts, with [Leymus racemosus ssp. sabulosus] ([Elymus giganteus]), [Elymus farctus ssp. bessarabicus], [Elymus pycnanthus], [Artemisia tschernieviana], [Eryngium maritimum], [Convolvulus persicus], [Petasites spurius], [Corispermum marschallii], [Lactuca tatarica], [Crambe maritima var. pontica], [Cynanchum acutum], [Centaurea arenaria ssp. odessana], [Argusia sibirica] ([Tournefortia arguzia]) and, in western formations, [Ammophila arenaria ssp. arundinacea], [Euphorbia paralias], [Calystegia soldanella]."
B1.33,4,Young boreo-arctic dunes,"Young dunes of arctic and boreal latitudes colonised by halo-nitrophilous perennial vegetation similar to that of unit B1.23, including [Leymus arenarius] ([Elymus arenarius]), [Ammophila arenaria], [Honkenya peploides], [Elymus farctus] ([Elytrigia juncea]), [Elymus repens], [Mertensia maritima]."
B1.4,3,Coastal stable dune grassland (grey dunes),"Fixed or semifixed dunes of the coasts of the boreal, nemoral, steppe, mediterranean and warm-temperate humid zones, with the perennial grasslands, chamaephyte-dotted grasslands, forblands, subshrub or succulent communities that stabilise them and the therophyte communities that may occupy the grassland clearings."
B1.41,4,Northern fixed grey dunes,"Grasslands of Baltic, North Sea, English Channel and northern Atlantic fixed dunes, including those of the British Isles, the Faeroes, southern Norway, the North Sea and Baltic coasts, the Channel coasts of France. "
B1.411,5,Crested-hairgrass dune communities,"Calciphile communities of fixed dunes of the North Sea, the English Channel, the north Atlantic and, locally, of the southwestern Baltic, with [Koeleria albescens], ([Koeleria glauca], [Koeleria arenaria]), [Galium verum var. maritimum], [Viola curtisii], [Ononis repens], [Festuca rubra], [Festuca polesica], [Anthyllis vulneraria ssp. maritima] and moss (e.g. [Tortula ruraliformis]) and lichen carpets."
B1.412,5,Grey-hairgrass dune communities,"Communities of less calcareous or decalcified dunes of the North Atlantic, the English Channel, the North Sea and the Baltic north to southern Norway, northern Jutland, southern Sweden, the Kalinin district and the Gulf of Riga, often rich in [Corynephorus canescens] and [Viola canina]."
B1.413,5,Mouse-ear dune communities,"Short-lived, warmth-loving communities of the dunes of the North Atlantic and its connected seas north to extreme southern Sweden, with [Cerastium diffusum ssp. diffusum], [Cerastium diffusum ssp. subtetrandrum], [Cerastium semidecandrum], [Erodium lebelii], [Phleum arenarium], [Silene conica]."
B1.42,4,Biscay fixed grey dunes,"Fixed dune grasslands infiltrated by dwarf bushes of French Brittany and the coasts of the Bay of Biscay, with [Helichrysum stoechas], [Artemisia campestris], [Ephedra distachya]."
B1.43,4,Mediterraneo-Atlantic fixed grey dunes,"Fixed dunes of the western and central Mediterranean and of the thermo-Atlantic coasts of Portugal, southwestern Spain and North Africa, colonised by communities mostly composed of fruticose species, with [Crucianella maritima], [Artemisia crithmifolia], [Armeria pungens], [Armeria welwitschi], [Helichrysum decumbens], [Helichrysum italicum], [Teucrium] spp., [Ephedra distachya], [Pancratium maritimum] and [Ononis natrix ssp. ramosissima]. Communities of [Crucianellion maritimae] and [Ononidion ramosissimae]."
B1.44,4,East Mediterranean fixed grey dunes,"Coastal dune communities of the Adriatic, the Ionian, the Aegean and the eastern Mediterranean, dominated by dwarf shrubs and subshrubs of genera [Ephedra], [Ononis], [Artemisia], and, very locally, [Crucianella] or others, by tall canes or by succulents; they may be rich in species of genus [Silene], together with [Euphorbia terracina] among others. Vegetation of the alliances [Crucianellion maritimae], [Medicagini marinae-Triplachnion nitensis], [Ammophilion arenariae]."
B1.45,4,Atlantic dune [Mesobromion] grassland,"Dunal grasslands, in particular of northern Brittany, rich in species characteristic of dry calcareous grasslands (c.f. unit E1.26)."
B1.46,4,Atlantic dune thermophile fringes,"[Geranium sanguineum]-rich forb and grass communities, related to hem formations of unit E5.2, developed within grey dune systems of western Ireland, southwestern England, Wales, Brittany and southwestern Norway."
B1.47,4,Dune fine-grass annual communities,"Sparse pioneer formations of fine grasses rich in spring-blooming therophytes characteristic of oligotrophic, superficial soils in grey dune systems of the Atlantic and the Mediterranean. They are closely related to grasslands of units E1.8 and E1.9."
B1.48,4,Tethyan dune deep sand therophyte communities,"Therophyte communities of the coasts of the Mediterranean basin and the subtropical Atlantic colonizing deep sands in clearings of perennial communities of fixed or semi-fixed dune systems, and sometimes deflation depressions of white dunes with e.g. several [Malcolmia] spp."
B1.49,4,Dune Mediterranean xeric grassland,"Therophyte communities of shallow, calcareous fixed sands of the coastal dune systems of the Mediterranean basin. These are coastal dune representatives of unit E1.3."
B1.4A,4,Thermo-Atlantic succulent and semi-fixed dunes,"Fixed or semi-fixed dunes of the Canary Islands and of the Saharo-mediterranean zone of the Atlantic coasts of North Africa, between Essaouira and Tan-Tan, dominated by the tall shrubby chenopod [Traganum moquinii] or by dwarf shrubs or subshrubs."
B1.4B,4,Pontic fixed dunes,"Fixed dunes of the coasts of the Black Sea.
"
B1.4B1,5,Western Pontic fixed dunes,"Fixed dunes of the western coasts of the Black Sea, north of the Bosphorus and west of the Dniester."
B1.4B11,6,Southwestern Pontic fixed dunes,"Fixed dunes of the southwestern coasts of the Black Sea, between the Bosphorus and Cape Caliacra, harbouring the psammophytes [Cionura erecta], [Peucedanum arenarium], [Jurinea albicaulis ssp. kilaea], [Silene thymifolia], [Medicago marina], [Secale sylvestre], [Pancratium maritimum], [Convolvulus persicus], [Scabiosa argentea] ([Scabiosa ucranica]), [Euphorbia seguierana] and the Balkan endemic [Lepidotrichum uechtritzianum]."
B1.4B12,6,Northwestern Pontic fixed dunes,"Dunes of the northwestern Black Sea coast, in particular, those associated with the mouth of the Danube."
B1.4B2,5,Eastern Pontic fixed dunes,"Fixed dunes of the northern and eastern Black Sea coasts, east of the Dniester, southeastwards to the Kuban basin. "
B1.4B3,5,Southern Pontic fixed dunes,Fixed dunes of the southern and southeastern coasts of the Black Sea.
B1.4C,4,Boreo-arctic grey dunes,"Communities of fixed dunes of the boreal and arctic coasts of Atlantic Eurasia, characterized by the dominance of species of the [Honkenyo-Elymetea] and the presence of arcto-alpine species."
B1.5,3,Coastal dune heaths,"Stable dunes with a leached surface and vegetation dominated by [Calluna vulgaris], [Empetrum nigrum] or [Erica] spp."
B1.51,4,Crowberry brown dunes,"[Empetrum nigrum] or [Empetrum hermaphroditum] colonizing dunes of the Arctic Ocean, the North Atlantic, the North Sea and the southern Baltic."
B1.52,4,Heather brown dunes,"[Erica], [Calluna] and [Ulex] heaths colonizing decalcified dunes of France, Iberia, Britain, the Baltic coast, and Scandinavia."
B1.521,5,East Anglian ling coastal dune heaths,[Calluna vulgaris]-[Carex arenaria] heaths of inner coastal dunes of East Anglia.
B1.522,5,French ling coastal dune heaths,[Calluna vulgaris]-[Carex trinervis] heaths of northern French inner coastal dunes. 
B1.523,5,British bell heather coastal dune heaths,"[Erica cinerea]-[Carex arenaria] heaths of decalcified coastal dunes of the western British Isles, mostly dominated by [Erica cinerea], sometimes by [Calluna vulgaris]. "
B1.524,5,French bell heather coastal dune heaths,[Erica cinerea]-[Festuca vasconcensis] heaths of dry coastal dunes of southwestern France. 
B1.525,5,French Dorset heath coastal dune heaths,[Erica ciliaris]-[Pseudarrhenatherum longifolium] ([Arrhenatherum thorei]) heaths of more humid coastal dunes of southwestern France. 
B1.526,5,Iberian green heather coastal dune heaths,"[Erica scoparia]-[Ulex parviflorus ssp. eriocladus] ([Ulex australis]) heaths of southwestern Iberian coastal dunes, dunal fraction of the thermo-Mediterranean heaths of unit F5.5C1."
B1.527,5,Iberian Dorset heath coastal dune heaths,[Erica ciliaris]-[Ulex parviflorus ssp. eriocladus] heaths of more humid southwestern Iberian coastal dunes.
B1.528,5,Northern ling coastal dune heaths,"Open heathlands of inner coastal dunes of Denmark, of the southern and southeastern Baltic coast, of southern Scania, the Kattegat coast of Sweden, Åland, Gotland and the Öland-Archipelago Sea dominated by [Calluna vulgaris], with [Empetrum nigrum], [Carex arenaria], [Deschampsia flexuosa], [Hieracium umbellatum], [Lotus corniculatus], [Polypodium vulgare], [Salix repens], and a ground layer constituted mostly by [Dicranum scoparium] and [Pleurozium schreberi]."
B1.6,3,Coastal dune scrub,"Stable dunes with scrub, e.g. [Hippophae rhamnoides], [Salix repens] in the north, or [Juniperus] spp. or sclerophyllous shrubs in the south."
B1.61,4,Coastal dune thickets,"Dense formations of large, mostly deciduous, shrubs of nemoral affinities of the coastal dunes and dune-slacks of the boreal, nemoral, steppe, mediterranean and warm-temperate humid zones of the Palaearctic region; they include sea-buckthorn, privet, elder, willow, gorse or broom, often festooned with creepers such as honeysuckle or white bryony ([Bryonia cretica]). "
B1.611,5,Sea-buckthorn dune thickets,"Thickets dominated by [Hippophae rhamnoides ssp. rhamnoides] colonizing dry or humid dune depressions of the coasts of the North Sea, the eastern English Channel and the southern Baltic, mostly in Denmark, Germany, Poland, the Kalinin district, the Netherlands, Belgium, Northern France and southeastern and eastern England and southeastern Scotland."
B1.612,5,Western nemoral mixed dune thickets,"Dunal pre-forest thickets of nemoral affinities of the coastal dunes of the western Palaearctic region formed of species of genera [Ulex], [Sarothamnus], [Rubus], [Ligustrum], [Daphne], [Sambucus]. Codes of subdivisions of unit F3.2 can be used, in addition to unit B1.612, to specify the habitat. Listed elsewhere are dunal formations of heaths (units B1.51, B1.52), sea-buckthorn ([Hippophae rhamnoides], unit B1.611) or creeping willow ([Salix arenaria], unit B1.62)."
B1.62,4,Creeping-willow mats,"Mats of [Salix arenaria] colonizing dry or humid dune depressions of Atlantic, North Sea, English Channel, Irish Sea and Baltic coasts of western and northwestern Europe."
B1.63,4,Dune juniper thickets,"Juniper heaths and thickets formed by [Juniperus phoenicea], [Juniperus lycia] s.l., [Juniperus macrocarpa], [Juniperus transtagana], [Juniperus communis] in dune slacks and on dune slopes of the coasts of the boreal, nemoral, steppe, mediterranean or warm-temperate humid zones of the Palaearctic region."
B1.631,5,Dune prickly juniper thickets,"[Juniperus oxycedrus ssp. macrocarpa] thickets and low woods of the outer belt of the juniper woods of fixed Mediterranean and Mediterraneo-Atlantic dunes. Well-developed woods and forests are placed in unit B1.7, with the habitat specified by unit G3.99 (B1.7 x G3.99)."
B1.632,5,Lycian juniper thickets,"[Juniperus phoenicea ssp. lycia] thickets of the inner belt of the juniper woods of fixed Mediterranean and Mediterraneo-Atlantic dunes. Well-developed woods and forests are placed in unit B1.7, with the habitat specified by unit G3.9A (B1.7 x G3.9A)."
B1.633,5,Rufescent juniper thickets, [Juniperus oxycedrus ssp. transtagana] scrub of the dunes of southwestern Portugal.
B1.634,5,Common juniper dune thickets,[Juniperus communis] scrubs of the calcareous dunes of northwest Jutland.
B1.64,4,Dune sclerophyllous scrubs and thickets,"Sclerophyllous, lauriphyllous or drought-deciduous scrub and thickets  established on dunes of mediterranean or warm-temperate humid regions. They are partially represented by classes of [Ononido-Rosmarinetea], [Quercetea ilicis], [Cisto-Lavanduletea], [Retametea raetami], [Cisto-Micromerietea] and [Ammophiletea]."
B1.65,4,Coastal dune rose thickets,Naturalized planted [Rosa rugosa] thickets planted for stabilization of shifting sandy soils. Shrubs low (0.3–0.8 m height) and dense. Sparser thickets include species of the [Ammophiletea] class.
B1.7,3,Coastal dune woods,Coastal dunes colonised by woodland which are directly influenced by proximity to the sea.
B1.71,4,"Coastal dunes: (brown) dunes covered with natural or almost natural coniferous forest, e.g. pines",No description available.
B1.72,4,"Coastal dunes: (brown) dunes covered with deciduous forest (beech, birch, oak)",No description available.
B1.73,4,Coastal dunes covered with planted dwarf mountain pine woodland,"Very dense [Pinus mugo] scrubland planted for stabilization of shifting sand dunes, particularly in the Curonian Spit (SE coast of the Baltic Sea)."
B1.74,4,Coastal brown dunes covered with natural or almost natural thermophilous pines,"Coastal dunes colonised by Mediterranean and Atlantic thermophilous pines, corresponding to substitution facies or in some stations climax formations of evergreen oak of artificial origin ([Quercetalia ilicis] or [Ceratonio-Rhamnetalia]). Typical species are [Pinus pinea], [Pinus pinaster], [Pinus halepensis], [Juniperus macrocarpa], [Juniperus turbinata ssp. turbinata], [Scaligeria napiformis], [Rhamnus alaternus], [Arbutus unedo], [Erica arborea], [Pistacia lentiscus]. This is the coastal equivalent of unit G3.7."
B1.8,3,Moist and wet dune slacks,"Moist or wet depressions in coastal dune systems, sometimes with permanent water but more often only seasonally moist or flooded by fresh water. Dune-slacks are extremely rich and specialised habitats, very threatened by the lowering of water tables."
B1.81,4,Dune-slack pools,"Freshwater aquatic communities (cf. units C1.22-C1.26, C1.32-C1.34, C1.42-C1.45, C1.69) of permanent dune-slack water bodies."
B1.82,4,Dune-slack pioneer swards,"Pioneer formations of humid sands and dune pool fringes on soils with low salinity. Component habitats may be found in unit C3, in particular unit C3.4132 and unit C3.512."
B1.83,4,Dune-slack fens,"Calcareous and, occasionally, acidic fen formations of coastal dune-slacks (cf. units D2.2, D4.1, in particular units D2.29, D4.11, D4.1H), often invaded by creeping willow, occupying the wettest parts of dune-slacks."
B1.84,4,Dune-slack grassland and heaths,"Humid grasslands and rushbeds (units E3.1, E3.411F, E3.418, E3.51 i.a., wet heaths and swamp-heaths (unit F4.11 i.a.) of dune-slacks, also often with creeping willows ([Salix rosmarinifolia], [Salix arenaria])."
B1.85,4,"Dune-slack reedbeds, sedgebeds and canebeds","Reedbeds, tall-sedge communities and canebeds (cf. units C3.2, C3.3, D5.2) of dune-slacks. Communities of [Phragmition], [Magnocaricion], [Potamogetonion], [Juncetalia]."
B1.86,4,Coastal dunes: wet dune slacks: dominated by shrubs or trees,No description available.
B1.9,3,Machair,"Short-turf grasslands formed on dry and seasonally waterlogged, relatively flat and low-lying sand plains, where windblown calcareous sand overlies peat or impermeable bedrock. Machair grasslands are machair in the strict sense, and form part of the machair complex (X27), characteristic of the Outer Hebrides and western Ireland, with dunes (B1.3, B1.4), shallow lochs (C1) and land cultivated on a strip rotation (I1). They support a flower-rich, and correspondingly insect-rich, dune grassland studded with shallow lochs and cultivated on a strip rotation. The grassland is dominated by [Poa pratensis] and [Festuca rubra], accompanied by [Thalictrum minus ssp. arenarium], [Thymus praecox ssp. arcticus] ([Thymus drucei]), [Bellis perennis], [Prunella vulgaris], [Erodium cicutarium], [Trifolium] spp., [Euphrasia] spp. and many orchids, among which [Dactylorhiza fuchsii ssp. hebridensis], [Dactylorhiza purpurella], [Gymnadenia conopsea], [Coeloglossum viride], [Platanthera chlorantha] and [Orchis mascula] are the most prominent. This grassland harbours a plant community of very restricted distribution comprising vulnerable species; [Cochlearia scotica], [Euphrasia marshallii] and [Dactylorhiza fuchsii ssp. hebridensis] are endemic. As a whole, machair is an essential habitat for breeding waders such as [Haematopus ostralegus], [Vanellus vanellus], [Charadrius hiaticula], [Calidris alpina], [Tringa totanus] and [Gallinago gallinago]; it supports the healthiest western European population of the threatened corncrake [Crex crex]."
B2,2,Coastal shingle,"Beaches of the oceans, of their connected seas and of their associated coastal lagoons, covered by pebbles, or sometimes boulders, usually formed by wave action. "
B2.1,3,Shingle beach driftlines,"The lowest level of the supralittoral, just above the normal tide limit, where drift material accumulates and the shingle may be rich in nitrogenous organic matter. Vegetation, if present at all, is very open and composed of annuals or, particularly by the Mediterranean, especially the east Mediterranean, of annuals and perennials, occupying accumulations of drift material and gravels rich in nitrogenous organic matter; characteristic are [Cakile maritima], [Salsola kali], [Atriplex] spp., [Polygonum] spp., [Euphorbia peplis], [Mertensia maritima], and, particularly in Mediterranean formations, [Glaucium flavum], [Matthiola sinuata], [Matthiola tricuspidata], [Euphorbia paralias], [Eryngium maritimum]."
B2.11,4,Boreo-arctic gravel beach annual communities,"Beach and upper beach formations, mostly of annuals of the low Arctic and high Arctic oceanic zones of the Palaearctic Atlantic, Pacific and Arctic oceans, occupying accumulations of drift material and gravels rich in nitrogenous organic matter; characteristic are [Cakile edentula], [Polygonum norvegicum] ([Polygonum oxyspermum ssp. raii]), [Atriplex longipes] s.l., [Atriplex glabriuscula], [Mertensia maritima]."
B2.12,4,Atlantic and Baltic shingle beach drift lines,"Formations, predominantly of annuals, occupying accumulations of drift material and gravels rich in nitrogenous organic matter on nemoral and boreonemoral beaches of the Atlantic, the North Sea and the Baltic; characteristic are [Cakile maritima ssp. maritima], [Cakile maritima ssp. baltica], [Salsola kali], [Atriplex] spp. (particularly [Atriplex glabriuscula]), [Polygonum] spp., [Euphorbia peplis], [Mertensia maritima], [Glaucium flavum]."
B2.13,4,Gravel beach communities of the mediterranean region,"Very open, low formations of annuals and perennials of Mediterranean, thermo-Atlantic and Black Sea gravel and shingle beaches, occupying accumulations of drift material, sandy gravels and gravels rich in nitrogenous organic matter; characteristic are [Cakile maritima ssp. aegyptiaca], [Cakile maritima ssp. euxina], [Enarthrocarpus arcuatus], [Matthiola sinuata], [Matthiola tricuspidata], [Salsola kali], [Atriplex] spp., [Polygonum] spp., [Euphorbia peplis], [Euphorbia paralias], [Glaucium flavum], [Eryngium maritimum]."
B2.14,4,Biocenosis of slowly drying wracks,No description available.
B2.2,3,Unvegetated mobile shingle beaches above the driftline,Shingle beaches lacking vegetation.
B2.3,3,Upper shingle beaches with open vegetation,"The upper beach of large shingle bars, with open pioneer communities or perennial vegetation mostly formed by [Crambe maritima], [Honkenya peploides], [Lathyrus japonicus] and a few other specialised species. Mainly in northwest Europe, from the Atlantic to the Baltic."
